desc,jaccard,rbo,kendall_tau
HawkesRanker L=168 p=0.01 beta=3.172653622401408e-07,0.40086587032275595,0.4118130050234725,0.40697813493731916
HawkesRanker L=168 p=0.1 beta=1.586326811200704e-07,0.39486810555147867,0.41098170897762126,0.4218531730502039
HawkesRanker L=168 p=0.5 beta=4.77531953097405e-08,0.3777621466078128,0.39764347828795016,0.3949907359934098
HawkesRanker L=169 p=0.01 beta=3.153880524044003e-07,0.3991859210893703,0.4114652589388015,0.41021117095973114
HawkesRanker L=169 p=0.1 beta=1.5769402620220016e-07,0.39458810696144775,0.4109585404963508,0.42185695903611165
HawkesRanker L=169 p=0.5 beta=4.747063202388404e-08,0.37767380738519796,0.39767779802424125,0.3944883141252255
HawkesRanker L=17 p=0.01 beta=3.135328285667274e-06,0.35052479399805764,0.37769637763407726,0.37561255473777033
HawkesRanker L=17 p=0.1 beta=1.567664142833637e-06,0.375122033107444,0.39529330419364356,0.3954196233761889
HawkesRanker L=17 p=0.5 beta=4.7191393011978847e-07,0.39814984220485067,0.41277360344669,0.4171586458024137
HawkesRanker L=170 p=0.01 beta=3.1353282856672737e-07,0.39871120208201233,0.41130655571368563,0.4104314474491596
